"","field","ini_year","cover_metacommunity_ini","cover_metacommunity_mean","gamma_stab","alpha_stab","sp_stab","species_stab","sp_asynchrony","spatial_asynchrony","pop_synchrony"
"99",5,2002,9547.2,9696.24,15.3941389670258,3.59227004967373,1.11497851633583,1.09005736075415,3.29548717251764,4.28535125537792,0.253464027626392
"100",6,1958,7088.3,7488.275,5.28540940233744,3.66678763850021,0.638556354753613,0.639914947186972,5.73011718919708,1.44142773550401,0.561800678085198
"101",6,1960,6508,7583.55,5.37207444738445,3.5245482721541,0.670698804836445,0.684003026522714,5.15282555118499,1.52418807534198,0.471992723804131
"102",6,1962,5868.4,7754.075,5.76961923139452,3.53992383386848,0.722548616156221,0.7352907135806,4.81431870209585,1.62987100914242,0.431118332163229
"103",6,1964,5758.5,7928.2625,6.95846803396948,3.73818400928503,0.784899838659967,0.788363150436178,4.74170311894563,1.86145679738766,0.397768084662695
"104",6,1966,9066.5,8219.5875,11.2659490368078,4.01544082353015,0.829151300004303,0.81511428139504,4.92623048716293,2.80565684614009,0.377941858460854
"105",6,1968,8289,8290.2875,9.84459472852872,3.8390541220056,0.895456456040242,0.873261071489297,4.3962272536188,2.56432819534873,0.363759973634472
"106",6,1970,9505.9,8298.175,9.85066609009482,3.76403759383995,0.989500254734672,0.958737263487019,3.92603660793343,2.61704774315112,0.342161552950347
"107",6,1972,7821.6,8236.4375,10.9123173070398,3.81115080303125,1.11470245324313,1.09383651486048,3.48420513600916,2.86326043523667,0.310283351886193
"108",6,1974,7850.5,8262.75,11.1385793638835,3.92918506892436,1.20691321240963,1.18487379746545,3.31612115765345,2.83483194822706,0.285606493094276
"109",6,1976,7872.2,8300.4,11.4431078893567,4.03257049429114,1.26140966957466,1.23019597744179,3.27799031067955,2.83767088648706,0.291924267655217
"110",6,1978,7261.9,8173.825,9.26570311015166,3.64334907278663,1.2368778857345,1.21521378146327,2.99811368860513,2.54318291358911,0.289653932538023
"111",6,1980,8089.1,8346.55,10.2985121273132,3.65717462902319,1.17542880462287,1.13504182147413,3.22206156621917,2.815974945682,0.27889225338881
"112",6,1982,9632.1,8396.0125,10.435555824822,3.64206984608318,1.14726838723786,1.09441000901581,3.32788426282618,2.86528162990745,0.257587002070443
"113",6,1984,8352.1,8087.3375,11.0316185464078,3.45690416540526,1.13536899678335,1.08571100928694,3.18400028721791,3.19118437149807,0.23557134243687
"114",6,1986,9012,8089.5875,11.0203215895499,3.20487458534087,1.1474547396342,1.09321367229521,2.93160858353721,3.43861243118747,0.204655008748992
"115",6,1988,8032.1,7923.1375,12.380630170303,3.22968015548849,1.20315509819138,1.14598450421196,2.81825813841122,3.83339203086828,0.184565155415685
"116",6,1990,8151.7,7909.15,12.3878219424186,3.12673940805422,1.21631019107181,1.14878154846071,2.72178762989695,3.96189778735911,0.188500630490516
"117",6,1992,6859.6,8005.0625,10.9504289882095,3.0707076219127,1.19491130672706,1.13059085190985,2.71602022670315,3.56609301063597,0.190940188264926
"118",6,1994,8643.7,8146.860125,14.3125986532448,3.28923084244602,1.20049735624106,1.13387553253117,2.90087469751059,4.35135122428845,0.193287098452795
"119",6,1996,8484.8,7949.872625,12.4046404254125,3.14082232836744,1.12341337850833,1.0698772374069,2.93568478564882,3.94948810487483,0.176166847912405
"120",6,1998,7162.7,7895.122625,13.0189002063514,3.15804943984754,1.06512079463599,1.01690838256412,3.10553978509309,4.12244977614406,0.192247606181393
"121",6,2000,8370.1,8106.610125,13.2997768089904,3.17805057243938,1.05552965553491,1.01124904537853,3.1426982175788,4.18488520111304,0.179820800644867
"122",6,2002,7680.4,8135.985125,12.9269518368081,3.2268753194151,1.02942838281831,0.998773232067317,3.23083880886148,4.00602767607125,0.157797893742473
"123",7,1960,6239.8,6864.475,6.58821894729412,3.77819728694562,0.626974108412308,0.636693646634863,5.93408981998587,1.74374667253551,0.62845370384205
"124",7,1962,6744,7250.05,5.52100345106632,3.50769607317782,0.676893509993567,0.684897036169892,5.12149401725214,1.57396859245691,0.533028358251585
"125",7,1964,5758.1,7475.0875,5.46739419915705,3.4435786849579,0.764955648648582,0.774124480238315,4.44835265240261,1.58770706272504,0.468101303457231
"126",7,1966,5683.5,7622.9,6.30021704497746,3.56338614748277,0.829368775829626,0.830107474081601,4.29268047661559,1.76804218914866,0.428218475927303
"127",7,1968,7136.6,8014.375,8.2027099006718,3.78959823944531,0.902532448406331,0.885073610718561,4.28167577651384,2.16453285609307,0.413928276444411
"128",7,1970,8403.9,8205.975,8.82885609124136,3.77948056363645,0.980814871384483,0.941875804131931,4.01271648242388,2.33599722040815,0.374431159541012
"129",7,1972,8307.6,8244.3625,8.72416140055661,3.75462136913625,1.14406614728701,1.09099078200944,3.44147854505315,2.32357954180706,0.342450555618015
"130",7,1974,6642.3,8206.0375,8.65356629520474,3.71836701426877,1.24911014282638,1.18673725876647,3.13326895806216,2.3272491020918,0.326837654844524
"131",7,1976,9324.4,8491.225,11.6573918637143,3.96660791434902,1.45702787545263,1.38417208582508,2.86568986253223,2.9388818142434,0.331488466777179
"132",7,1978,8544.3,8438.825,12.5417373856546,3.94439263741341,1.46984635120726,1.39186296697945,2.83389437824711,3.17963715546306,0.323338773034058
"133",7,1980,6940.6,8371.7875,12.1787707418739,3.94135255622827,1.57433580579994,1.49376574890027,2.63853456214935,3.0899978035785,0.31736282189229
"134",7,1982,8815.3,8672.675,18.813344905293,4.14790972736599,1.58038028274199,1.50335896138561,2.75909468989559,4.5356206238461,0.285754290528615
"135",7,1984,8669.4,8653.9875,18.9202119603865,4.07831725169802,1.63927912370384,1.55453428773729,2.62349777928297,4.63922024519033,0.243683595975843
"136",7,1986,8711,8626.0875,18.6271883496318,3.94722096742129,1.50177062060134,1.43193623979147,2.75656195976722,4.7190639954978,0.199045018530476
"137",7,1988,8001,8642.575,18.4332316639507,3.99774376024701,1.53230379019419,1.45491967896328,2.74774189809272,4.61090874488959,0.174880244017285
"138",7,1990,8923.8,8810.4125,19.747286330844,4.11576724794301,1.45473733913865,1.39080799040516,2.95926344710174,4.7979599285439,0.20574857646345
"139",7,1992,8905.2,8813.6875,19.7084145416906,4.20658170108295,1.44449274253229,1.39062240064633,3.0249632820008,4.68513770613722,0.235745514232274
"140",7,1994,8008,8941.169625,14.97133530271,4.0892641442506,1.43921197751153,1.39233830315579,2.93697597414516,3.66113187473089,0.274795176246111
"141",7,1996,9347.7,8930.169625,14.4656997439049,4.00388843650617,1.41715095017512,1.37598750803234,2.90982905959061,3.6129127904792,0.296745851106975
"142",7,1998,8665.8,8789.457125,13.8076903659831,3.82912462187777,1.37074587762868,1.33523236225598,2.86775899844739,3.60596526085693,0.297381766680843
"143",7,2000,8446.2,8871.594625,13.4361271907164,3.8982391634713,1.35069882828434,1.31513817343542,2.96412897307077,3.44671699895186,0.255471012767678
